Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/TYCS/SauceDemo/TC-SD-3-LoginInvalido,Chrome 119.0.0.0,,,2023-11-13 19:46:54,2023-11-13 19:47:13,"18,980s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:46:55,2023-11-13 19:47:01,"5,932s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:47:01,2023-11-13 19:47:03,"2,101s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:47:03,2023-11-13 19:47:05,"2,355s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), PASSWORD)",Chrome 119.0.0.0,,,2023-11-13 19:47:05,2023-11-13 19:47:07,"2,383s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-13 19:47:07,2023-11-13 19:47:08,"0,925s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-13 19:47:08,2023-11-13 19:47:09,"0,582s",PASSED
takeScreenshot(SCREENSHOT),Chrome 119.0.0.0,,,2023-11-13 19:47:09,2023-11-13 19:47:10,"0,672s",PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-13 19:47:10,2023-11-13 19:47:12,"2,013s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-13 19:47:12,2023-11-13 19:47:13,"1,587s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-3-LoginInvalido,Chrome 119.0.0.0,,,2023-11-13 19:47:13,2023-11-13 19:47:31,"17,638s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:47:14,2023-11-13 19:47:19,"5,706s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:47:19,2023-11-13 19:47:21,"2,083s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:47:21,2023-11-13 19:47:24,"2,915s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), PASSWORD)",Chrome 119.0.0.0,,,2023-11-13 19:47:24,2023-11-13 19:47:26,"1,311s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-13 19:47:26,2023-11-13 19:47:27,"1,068s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-13 19:47:27,2023-11-13 19:47:27,"0,517s",PASSED
takeScreenshot(SCREENSHOT),Chrome 119.0.0.0,,,2023-11-13 19:47:27,2023-11-13 19:47:28,"0,474s",PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-13 19:47:28,2023-11-13 19:47:30,"2,027s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-13 19:47:30,2023-11-13 19:47:31,"1,271s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-3-LoginInvalido,Chrome 119.0.0.0,,,2023-11-13 19:47:31,2023-11-13 19:48:48,"1m - 16,943s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:47:31,2023-11-13 19:47:37,"5,411s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:47:37,2023-11-13 19:47:39,"2,474s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:47:39,2023-11-13 19:47:42,"2,245s",PASSED
