Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-2-B-LoginInvalidoPresionandoEnElBotónLoginConSoloCampoPasswordCompletado,Chrome 119.0.0.0,,,2023-11-13 19:04:39,2023-11-13 19:05:01,"21,395s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:04:41,2023-11-13 19:04:49,"7,263s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:04:49,2023-11-13 19:04:51,"2,234s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:04:51,2023-11-13 19:04:54,"3,087s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-13 19:04:54,2023-11-13 19:04:55,"1,304s",PASSED
"verifyTextPresent(""Epic sadface: Password is required"", false)",Chrome 119.0.0.0,,,2023-11-13 19:04:55,2023-11-13 19:04:56,"0,773s",PASSED
"takeScreenshot(""C:\Users\Usuario\Documents\Facultad\screen2B.png"")",Chrome 119.0.0.0,,,2023-11-13 19:04:56,2023-11-13 19:04:57,"0,703s",PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-13 19:04:57,2023-11-13 19:04:59,"2,046s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-13 19:04:59,2023-11-13 19:05:01,"2,134s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-3-LoginInvalido,Chrome 119.0.0.0,,,2023-11-13 19:05:41,2023-11-13 19:05:53,"12,606s",ERROR
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:05:42,2023-11-13 19:05:50,"8,273s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:05:50,2023-11-13 19:05:52,"1,912s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:05:52,2023-11-13 19:05:53,"1,657s",ERROR
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-3-LoginInvalido,Chrome 119.0.0.0,,,2023-11-13 19:06:36,2023-11-13 19:06:50,"14,091s",ERROR
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:06:36,2023-11-13 19:06:45,"9,057s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:06:45,2023-11-13 19:06:47,"1,936s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:06:47,2023-11-13 19:06:50,"2,878s",PASSED
"sendKeys(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name"", Keys.chord(BACK_SPACE))",Chrome 119.0.0.0,,,2023-11-13 19:06:50,2023-11-13 19:06:50,"0,004s",ERROR
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-3-LoginInvalido,Chrome 119.0.0.0,,,2023-11-13 19:07:28,2023-11-13 19:07:40,"11,946s",ERROR
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:07:29,2023-11-13 19:07:37,"8,261s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:07:37,2023-11-13 19:07:39,"2,412s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:07:39,2023-11-13 19:07:40,"0,736s",ERROR
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-3-LoginInvalido,Chrome 119.0.0.0,,,2023-11-13 19:08:21,2023-11-13 19:08:36,"14,353s",ERROR
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:08:21,2023-11-13 19:08:29,"7,646s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:08:29,2023-11-13 19:08:32,"2,989s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:08:32,2023-11-13 19:08:36,"3,647s",PASSED
"sendKeys(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name"", Keys.chord(BACK_SPACE))",Chrome 119.0.0.0,,,2023-11-13 19:08:36,2023-11-13 19:08:36,"0,000s",ERROR
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-3-LoginInvalido,Chrome 119.0.0.0,,,2023-11-13 19:09:19,2023-11-13 19:09:35,"16,332s",ERROR
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:09:19,2023-11-13 19:09:29,"9,746s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:09:29,2023-11-13 19:09:32,"2,956s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:09:32,2023-11-13 19:09:35,"3,573s",PASSED
"sendKeys(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name"", Keys.chord(BACK_SPACE))",Chrome 119.0.0.0,,,2023-11-13 19:09:35,2023-11-13 19:09:35,"0,005s",ERROR
