Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TP4,Chrome 119.0.0.0,,,2023-11-13 19:03:37,2023-11-13 19:09:35,"5m - 57,939s",ERROR
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-1-LoginValido,Chrome 119.0.0.0,,,2023-11-13 19:03:39,2023-11-13 19:04:16,"37,151s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:03:43,2023-11-13 19:03:59,"16,462s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:03:59,2023-11-13 19:04:03,"3,752s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:04:03,2023-11-13 19:04:07,"3,737s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), PASSWORD)",Chrome 119.0.0.0,,,2023-11-13 19:04:07,2023-11-13 19:04:09,"2,485s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-13 19:04:09,2023-11-13 19:04:11,"1,831s",PASSED
"verifyTextPresent(""Products"", false, STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-13 19:04:11,2023-11-13 19:04:12,"1,039s",PASSED
"takeScreenshot(""C:\Users\Usuario\Documents\Facultad\screen1.png"")",Chrome 119.0.0.0,,,2023-11-13 19:04:12,2023-11-13 19:04:13,"0,692s",PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-13 19:04:13,2023-11-13 19:04:15,"2,221s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-13 19:04:15,2023-11-13 19:04:16,"1,512s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-2-A-LoginInvalidoPresionandoEnElBotónLoginConSoloCampoUsuarioCompletado,Chrome 119.0.0.0,,,2023-11-13 19:04:17,2023-11-13 19:04:39,"22,891s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:04:19,2023-11-13 19:04:27,"8,072s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:04:27,2023-11-13 19:04:31,"3,456s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_password""), PASSWORD)",Chrome 119.0.0.0,,,2023-11-13 19:04:31,2023-11-13 19:04:34,"2,883s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-13 19:04:34,2023-11-13 19:04:35,"1,055s",PASSED
"verifyTextPresent(""Epic sadface: Username is required"", false)",Chrome 119.0.0.0,,,2023-11-13 19:04:35,2023-11-13 19:04:35,"0,864s",PASSED
"takeScreenshot(""C:\Users\Usuario\Documents\Facultad\screen2A.png"")",Chrome 119.0.0.0,,,2023-11-13 19:04:35,2023-11-13 19:04:36,"0,677s",PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-13 19:04:36,2023-11-13 19:04:38,"2,037s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-13 19:04:38,2023-11-13 19:04:39,"1,220s",PASSED
